proposed_rule_id,trigger_type,trigger_values,source_sheet,source_row,izhodisce,Iscete,SteMislili,Npr,Vslo,Link,review_note,owner_flag,status
paronym_sončno_leto,lemma,sončno leto,Abecedno,118,sončno leto,anno solare,koledarsko leto,Dohodki so bili ustvarjeni v tem koledarskem letu.,"Beseda zveva sončno leto je kalk iz italijanščine 'anno solare'. Govorci in govorke, ki ne znajo italijansko, je ne razumejo.",,"že obdelano, treba samo dopolnit",,
paronym_spet,lemma,spet,Abecedno,119,spet,,ponovno,"Nekatere sanirane gramoznice so ponovno ""oživele"".","Spet (lahko) izraža nejevoljo, ker se je nekaj ponovno zgodilo.",,,,
paronym_svoj,lemma,svoj,Abecedno,123,svoj,il suo,moj,Njegova knjiga je dosegla odmeven uspeh. / S svojo knjigo je dosegel velik uspeh. / Moja knjiga je najboljša.,"Zaimek svoj v slovenščini označuje svojino osebka, moj pa je prvoosebni zaimek.",,,,
paronym_štiriročno,lemma,štiriročno,Abecedno,124,štiriročno,a quattro mani,"dva, dve / v dvoje / oba, obe",Pravilnik je bil napisan štiriročno. -> Pravilnik sta napisali dve članici društva.,Leksem štiriročno se uporablja skoraj izključno na glasbenem področju (igranje klavirja štiriročno).,,"preveriti, če Loris to že pozna, sicer gre noter",,
paronym_tekoči_račun,lemma,tekoči račun,Abecedno,125,tekoči račun,conto corrente,transakcijski račun (TRR),,,,,ZKB,
paronym_težka_droga,lemma,težka droga,Abecedno,127,težka droga,droga pesante,"trda droga, trdo mamilo","Skrb vzbujajoče je število odvisnikov od trdih drog.
Režim sponzorira kar 50 odstotkov svetovne produkcije najtrših mamil.","Besedni zvezi težka droga ali težko mamilo sta v slo redki. Pogosteje (pribl. 13,5 : 1) se uporabljata besedni zvezi trda droga / trdo mamilo.",,,,
paronym_težko_mamilo,lemma,težko mamilo,Abecedno,128,težko mamilo,droga pesante,"trda droga, trdo mamilo","Skrb vzbujajoče je število odvisnikov od trdih drog.
Režim sponzorira kar 50 odstotkov svetovne produkcije najtrših mamil","Besedni zvezi težka droga ali težko mamilo sta v slo redki. Pogosteje (pribl. 13,5 : 1) se uporabljata besedni zvezi trda droga / trdo mamilo.",,"preveriti, če Loris to že pozna, sicer gre noter",,
paronym_v_osebi,lemma,v osebi,Abecedno,136,v osebi,in/di persona,"osebno, v živo, iz oči v oči","Največ bomo dosegli, če se oglasimo osebno.",,,"bi dala samo ""v osebi""",,
paronym_v_prisotnosti,lemma,v prisotnosti,Abecedno,137,v prisotnosti,in presenza,v živo,Tokrat se bomo po dolgem času sestali v živo.,"V slo se besedna zveva v prisotnosti uporablja v primerih kot ""mladoletni se lahko tekmovanja udeležijo zgolj v prisotnosti (= ob prisotnosti, navzočnosti) staršev"".",,"bi dala samo ""v prisotnosti""",,
paronym_večerni_izhod,lemma,večerni izhod,Abecedno,140,večerni izhod,uscita serale,"iti kam (zvečer): na sprehod, koncert, predstavo, v kino",,,,,,
paronym_ven_iz_glave,lemma,ven iz glave,Abecedno,141,ven iz glave,fuori di testa,"biti čudaški, nor; popeniti, ponoreti",,"Besedna zveza ven iz glave je kalk iz italijanščine ('fuori di testa') in se uporablja izključno v lokalnem okolju; govorcem, ki ne znajo italijansko, pomen te besedne zveze ni jasen",,"že obdelano, treba samo dopolnit",,
paronym_vzgojno_leto,lemma,vzgojno leto,Abecedno,143,vzgojno leto,anno scholastico,šolsko leto,"Za konec šolskega leta pripravljajo zaključni nastop, z delom pa bodo nadaljevali septembra.",/,,,,
paronym_z_upanjem,lemma,z upanjem,Abecedno,144,z upanjem,con la speranza,v upanju,V upanju na ugodno rešitev pošiljamo prijazen pozdrav.,"Dolge povedi, predvsem v dopisih, v slovenskem kulturnem prostoru niso pogoste. Svetujemo: Upamo na ugodno rešitev. Prijazen pozdrav.",,"preveriti, če Loris to že pozna, sicer gre noter",,
paronym_z_zagotovostjo,lemma,z zagotovostjo,Abecedno,145,z zagotovostjo,con certezza,z gotovostjo,Tega ne more nihče napovedati z gotovostjo.,/,,,,
paronym_zaprositi,lemma,zaprositi,Abecedno,148,zaprositi,,prositi,,,,,,
paronym_zapuščanje_šole,lemma,zapuščanje šole,Abecedno,149,zapuščanje šole,abbandono scolastico,"osip, izpis",Osip je ena največjih slabosti našega šolskega sistema.,"Zapuščanje šole ni termin, temveč besedna zveza, ki označuje odhajanje iz šolskega poslopja (V primeru požara čim prej zapustite poslopje.).",,"že obdelano, treba samo dopolnit",x,
paronym_zdole_zdol,lemma,zdole | zdol,Abecedno,151,"zdole, zdol",,spodaj,,narečno,,narečno,,
paronym_zelena_številka,lemma,zelena številka,Abecedno,152,zelena številka,numero verde,brezplačna številka,Za več informacij pokličite na brezplačno številko.,"Zelena številka je kalk iz italijanščine. Govorci in govorke, ki ne znajo italijansko, njenega pomena ne razumejo.",,"preveriti, če Loris to že pozna, sicer gre noter",,
paronym_zeleni_teden,lemma,zeleni teden,Abecedno,153,zeleni teden,,šola v naravi,Otroci se veselijo šole v naravi.,"Zeleni teden je dvakratni kalk: nastal je na podlagi besedne zveze beli teden, ki je kalk italijanske besedne zveze 'settimana bianca'. Govorci in govorke, ki ne znajo italijansko, njenega pomena ne razumejo.",,"preveriti, če Loris to že pozna, sicer gre noter",,
